Days,Weight,Time,Weight,Time,Weight,Time
1,28827,24,11624,12,1788,6
2,30832,24,12019,12,1986,6
3,38719,24,14096,12,2576,6
4,30422,24,12006,12,2096,6
5,31991,24,11432,12,2391,6
6,37730,24,15023,12,2585,6
7,29701,24,12187,12,2076,6
8,31180,24,14167,12,2397,6
9,38437,24,14857,12,2875,6
10,30286,24,12564,12,1944,6
11,31470,24,12353,12,2334,6
12,38481,24,15542,12,2360,6
13,30648,24,11996,12,2014,6
14,30257,24,12415,12,2099,6
15,38573,24,14917,12,2854,6
16,30459,24,12380,12,2452,6
17,31175,24,12794,12,2455,6
18,37175,24,16367,12,2814,6
19,28210,24,12422,12,2211,6
20,29673,24,12667,12,2253,6
21,38501,24,15276,12,3306,6
22,29302,24,12351,12,2343,6
23,30796,24,12499,12,2345,6
24,36546,24,15655,12,2681,6
25,34977,24,13566,12,2959,6
26,32031,24,13293,12,2200,6
27,31126,24,13090,12,2590,6
28,30832,24,12019,12,1986,6
29,31410,24,13212,12,2702,6
30,33022,24,12354,12,3974,6
31,31775,24,13714,12,2752,6
32,29881,24,13057,12,3168,6
33,32582,24,13842,12,4356,6
34,33434,24,15012,12,1807,6
35,31258,24,13522,12,2764,6
36,30569,24,12923,12,3123,6
37,34240,24,12332,12,2047,6
38,27978,24,11624,12,2613,6
39,33489,24,13420,12,2343,6
40,33078,24,15233,12,2448,6
41,30038,24,12481,12,3843,6
42,34155,24,13910,12,2454,6
43,29625,24,12658,12,2776,6
44,28874,24,12253,12,2925,6
45,36320,24,14816,12,2607,6
46,31328,24,13736,12,2621,6
47,31142,24,12641,12,3599,6
48,31856,24,12291,12,2293,6
49,27978,24,11624,12,2613,6
50,29302,24,12351,12,2343,6
